id,file_path,test_name,test_prefix,GT_output,original_test_prefix
1,commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test0,"public void test0()  throws Throwable  {
	FileSystemHandling.createFolder((EvoSuiteFile) null);
	FileSystemHandling.createFolder((EvoSuiteFile) null);
	String string0 = ""@!nRJx"";
	SerializationUtils.clone(""@!nRJx"");
	SerializationUtils.clone((Integer) null);
	byte[] byteArray0 = SerializationUtils.serialize((Serializable) ""@!nRJx"");
	SerializationUtils.clone(""-z9"");
	PipedOutputStream pipedOutputStream0 = new PipedOutputStream();
	PipedInputStream pipedInputStream0 = new PipedInputStream(pipedOutputStream0);
	pipedOutputStream0.write(byteArray0);
	SerializationUtils.deserialize((InputStream) pipedInputStream0);
	SerializationUtils.serialize((Serializable) ""@!nRJx"", (OutputStream) pipedOutputStream0);
}",exception,"  public void test0()  throws Throwable  {
      FileSystemHandling.createFolder((EvoSuiteFile) null);
      FileSystemHandling.createFolder((EvoSuiteFile) null);
      String string0 = ""@!nRJx"";
      SerializationUtils.clone(""@!nRJx"");
      SerializationUtils.clone((Integer) null);
      byte[] byteArray0 = SerializationUtils.serialize((Serializable) ""@!nRJx"");
      SerializationUtils.clone(""-z9"");
      PipedOutputStream pipedOutputStream0 = new PipedOutputStream();
      PipedInputStream pipedInputStream0 = new PipedInputStream(pipedOutputStream0);
      pipedOutputStream0.write(byteArray0);
      SerializationUtils.deserialize((InputStream) pipedInputStream0);
      // Undeclared exception!
      try { 
        SerializationUtils.serialize((Serializable) ""@!nRJx"", (OutputStream) pipedOutputStream0);
        fail(""Expecting exception: RuntimeException"");
      } catch(RuntimeException e) {
         //
         // java.io.IOException: Pipe closed
         //
         verifyException(""org.apache.commons.lang3.SerializationUtils"", e);
      }
  }"
2,commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test1,"public void test1()  throws Throwable  {
      SerializationUtils.roundtrip(""#5$bE&|pr&!gwFw7"");
      byte[] byteArray0 = SerializationUtils.serialize((Serializable) ""#5$bE&|pr&!gwFw7"");
}","assertEquals(23, byteArray0.length);","  public void test1()  throws Throwable  {
      SerializationUtils.roundtrip(""#5$bE&|pr&!gwFw7"");
      byte[] byteArray0 = SerializationUtils.serialize((Serializable) ""#5$bE&|pr&!gwFw7"");
      assertEquals(23, byteArray0.length);
}"
3,commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test2,"public void test2()  throws Throwable  {
      SerializationUtils.roundtrip(""#5$bE&|pr&!gwFw7"");
      byte[] byteArray0 = SerializationUtils.serialize((Serializable) ""#5$bE&|pr&!gwFw7"");
      SerializationUtils.deserialize(byteArray0);
      Integer integer0 = new Integer((-1));
      Integer integer1 = SerializationUtils.clone(integer0);
}","assertEquals((-1), (int)integer1);","  public void test2()  throws Throwable  {
      SerializationUtils.roundtrip(""#5$bE&|pr&!gwFw7"");
      byte[] byteArray0 = SerializationUtils.serialize((Serializable) ""#5$bE&|pr&!gwFw7"");
      SerializationUtils.deserialize(byteArray0);
      Integer integer0 = new Integer((-1));
      Integer integer1 = SerializationUtils.clone(integer0);
      assertEquals((-1), (int)integer1);
}"
4,commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test3,"public void test3()  throws Throwable  {
      byte[] byteArray0 = SerializationUtils.serialize((Serializable) null);
      SerializationUtils.deserialize(byteArray0);
      String string0 = SerializationUtils.roundtrip(""wR? ReD2z&'T7JaA'"");
}","assertEquals(""wR? ReD2z&'T7JaA'"", string0);","  public void test3()  throws Throwable  {
      byte[] byteArray0 = SerializationUtils.serialize((Serializable) null);
      SerializationUtils.deserialize(byteArray0);
      String string0 = SerializationUtils.roundtrip(""wR? ReD2z&'T7JaA'"");
      assertEquals(""wR? ReD2z&'T7JaA'"", string0);
}"
5,commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test4,"public void test4()  throws Throwable  {
	SerializationUtils.clone(""objectData"");
	SerializationUtils.roundtrip(""objectData"");
	SerializationUtils.roundtrip(""objectData"");
	byte[] byteArray0 = SerializationUtils.serialize((Serializable) ""objectData"");
	ByteArrayInputStream byteArrayInputStream0 = new ByteArrayInputStream(byteArray0);
	PushbackInputStream pushbackInputStream0 = new PushbackInputStream(byteArrayInputStream0);
	ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
	ClassLoader classLoader1 = classLoader0.getParent();
	SerializationUtils.ClassLoaderAwareObjectInputStream serializationUtils_ClassLoaderAwareObjectInputStream0 = new SerializationUtils.ClassLoaderAwareObjectInputStream(pushbackInputStream0, classLoader1);
	String string0 = ""org.apache.commons.lang3.SerializationException"";
	boolean boolean0 = true;
	classLoader1.setPackageAssertionStatus(""org.apache.commons.lang3.SerializationException"", true);
	SerializationUtils.deserialize((InputStream) serializationUtils_ClassLoaderAwareObjectInputStream0);
}",exception,"  public void test4()  throws Throwable  {
      SerializationUtils.clone(""objectData"");
      SerializationUtils.roundtrip(""objectData"");
      SerializationUtils.roundtrip(""objectData"");
      byte[] byteArray0 = SerializationUtils.serialize((Serializable) ""objectData"");
      ByteArrayInputStream byteArrayInputStream0 = new ByteArrayInputStream(byteArray0);
      PushbackInputStream pushbackInputStream0 = new PushbackInputStream(byteArrayInputStream0);
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      ClassLoader classLoader1 = classLoader0.getParent();
      SerializationUtils.ClassLoaderAwareObjectInputStream serializationUtils_ClassLoaderAwareObjectInputStream0 = new SerializationUtils.ClassLoaderAwareObjectInputStream(pushbackInputStream0, classLoader1);
      String string0 = ""org.apache.commons.lang3.SerializationException"";
      boolean boolean0 = true;
      classLoader1.setPackageAssertionStatus(""org.apache.commons.lang3.SerializationException"", true);
      // Undeclared exception!
      try { 
        SerializationUtils.deserialize((InputStream) serializationUtils_ClassLoaderAwareObjectInputStream0);
        fail(""Expecting exception: RuntimeException"");
      } catch(RuntimeException e) {
         //
         // java.io.EOFException
         //
         verifyException(""org.apache.commons.lang3.SerializationUtils"", e);
      }
  }"
6,commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test5,"public void test5()  throws Throwable  {
	LinkedList<Locale.LanguageRange> linkedList0 = new LinkedList<Locale.LanguageRange>();
	LinkedList<Locale> linkedList1 = new LinkedList<Locale>();
	Locale.lookup(linkedList0, linkedList1);
	String string0 = ""x"";
	MockFileOutputStream mockFileOutputStream0 = new MockFileOutputStream(""x"");
	MockPrintStream mockPrintStream0 = new MockPrintStream(mockFileOutputStream0, false);
	Object[] objectArray0 = new Object[8];
	objectArray0[0] = (Object) null;
	objectArray0[1] = (Object) null;
	objectArray0[2] = (Object) linkedList1;
	objectArray0[3] = (Object) mockPrintStream0;
	byte[] byteArray0 = new byte[2];
	byteArray0[0] = (byte)0;
	byteArray0[1] = (byte)0;
	mockFileOutputStream0.write(byteArray0, (int) (byte)0, 933);
	objectArray0[4] = (Object) linkedList0;
	objectArray0[5] = (Object) ""x"";
	objectArray0[6] = (Object) ""x"";
	objectArray0[7] = (Object) linkedList1;
	PrintStream printStream0 = mockPrintStream0.format(""x"", objectArray0);
	SerializationUtils.serialize((Serializable) null, (OutputStream) printStream0);
	SerializationUtils.roundtrip("""");
	SerializationUtils.serialize((Serializable) (byte)0, (OutputStream) mockFileOutputStream0);
}",exception,"  public void test5()  throws Throwable  {
      LinkedList<Locale.LanguageRange> linkedList0 = new LinkedList<Locale.LanguageRange>();
      LinkedList<Locale> linkedList1 = new LinkedList<Locale>();
      Locale.lookup(linkedList0, linkedList1);
      String string0 = ""x"";
      MockFileOutputStream mockFileOutputStream0 = new MockFileOutputStream(""x"");
      MockPrintStream mockPrintStream0 = new MockPrintStream(mockFileOutputStream0, false);
      Object[] objectArray0 = new Object[8];
      objectArray0[0] = (Object) null;
      objectArray0[1] = (Object) null;
      objectArray0[2] = (Object) linkedList1;
      objectArray0[3] = (Object) mockPrintStream0;
      byte[] byteArray0 = new byte[2];
      byteArray0[0] = (byte)0;
      byteArray0[1] = (byte)0;
      mockFileOutputStream0.write(byteArray0, (int) (byte)0, 933);
      objectArray0[4] = (Object) linkedList0;
      objectArray0[5] = (Object) ""x"";
      objectArray0[6] = (Object) ""x"";
      objectArray0[7] = (Object) linkedList1;
      PrintStream printStream0 = mockPrintStream0.format(""x"", objectArray0);
      SerializationUtils.serialize((Serializable) null, (OutputStream) printStream0);
      SerializationUtils.roundtrip("""");
      // Undeclared exception!
      try { 
        SerializationUtils.serialize((Serializable) (byte)0, (OutputStream) mockFileOutputStream0);
        fail(""Expecting exception: RuntimeException"");
      } catch(RuntimeException e) {
         //
         // org.evosuite.runtime.mock.java.lang.MockThrowable
         //
         verifyException(""org.apache.commons.lang3.SerializationUtils"", e);
      }
  }"
7,commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test6,"public void test6()  throws Throwable  {
	SerializationUtils serializationUtils0 = new SerializationUtils();
	Locale locale0 = Locale.TRADITIONAL_CHINESE;
	Locale.getISOCountries();
	LinkedList<Locale.LanguageRange> linkedList0 = new LinkedList<Locale.LanguageRange>();
	Locale.FilteringMode locale_FilteringMode0 = Locale.FilteringMode.EXTENDED_FILTERING;
	List<String> list0 = Locale.filterTags((List<Locale.LanguageRange>) linkedList0, (Collection<String>) null, locale_FilteringMode0);
	Locale.filterTags((List<Locale.LanguageRange>) linkedList0, (Collection<String>) list0);
	PipedOutputStream pipedOutputStream0 = new PipedOutputStream();
	SerializationUtils.serialize((Serializable) locale0, (OutputStream) pipedOutputStream0);
}",exception,"  public void test6()  throws Throwable  {
      SerializationUtils serializationUtils0 = new SerializationUtils();
      Locale locale0 = Locale.TRADITIONAL_CHINESE;
      Locale.getISOCountries();
      LinkedList<Locale.LanguageRange> linkedList0 = new LinkedList<Locale.LanguageRange>();
      Locale.FilteringMode locale_FilteringMode0 = Locale.FilteringMode.EXTENDED_FILTERING;
      List<String> list0 = Locale.filterTags((List<Locale.LanguageRange>) linkedList0, (Collection<String>) null, locale_FilteringMode0);
      Locale.filterTags((List<Locale.LanguageRange>) linkedList0, (Collection<String>) list0);
      PipedOutputStream pipedOutputStream0 = new PipedOutputStream();
      // Undeclared exception!
      try { 
        SerializationUtils.serialize((Serializable) locale0, (OutputStream) pipedOutputStream0);
        fail(""Expecting exception: RuntimeException"");
      } catch(RuntimeException e) {
         //
         // java.io.IOException: Pipe not connected
         //
         verifyException(""org.apache.commons.lang3.SerializationUtils"", e);
      }
  }"
8,commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test7,"public void test7()  throws Throwable  {
	SerializationUtils serializationUtils0 = new SerializationUtils();
	SerializationUtils.clone((String) null);
	PipedInputStream pipedInputStream0 = new PipedInputStream();
	pipedInputStream0.markSupported();
	SerializationUtils.deserialize((InputStream) pipedInputStream0);
}",exception,"  public void test7()  throws Throwable  {
      SerializationUtils serializationUtils0 = new SerializationUtils();
      SerializationUtils.clone((String) null);
      PipedInputStream pipedInputStream0 = new PipedInputStream();
      pipedInputStream0.markSupported();
      // Undeclared exception!
      try { 
        SerializationUtils.deserialize((InputStream) pipedInputStream0);
        fail(""Expecting exception: RuntimeException"");
      } catch(RuntimeException e) {
         //
         // java.io.IOException: Pipe not connected
         //
         verifyException(""org.apache.commons.lang3.SerializationUtils"", e);
      }
  }"
9,commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test8,"public void test8()  throws Throwable  {
      Locale locale0 = Locale.US;
      SerializationUtils.serialize((Serializable) locale0);
      Integer integer0 = SerializationUtils.clone((Integer) null);
}",assertNull(integer0);,"  public void test8()  throws Throwable  {
      Locale locale0 = Locale.US;
      SerializationUtils.serialize((Serializable) locale0);
      Integer integer0 = SerializationUtils.clone((Integer) null);
      assertNull(integer0);
}"
10,commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test9,"  public void test9()  throws Throwable  {
      byte byte0 = ObjectStreamConstants.SC_BLOCK_DATA;
      PipedInputStream pipedInputStream0 = new PipedInputStream();
      PipedOutputStream pipedOutputStream0 = new PipedOutputStream(pipedInputStream0);
      FilterOutputStream filterOutputStream0 = new FilterOutputStream(pipedOutputStream0);
      SerializationUtils.serialize((Serializable) (byte)8, (OutputStream) filterOutputStream0);
  }",-1,"  public void test9()  throws Throwable  {
      byte byte0 = ObjectStreamConstants.SC_BLOCK_DATA;
      PipedInputStream pipedInputStream0 = new PipedInputStream();
      PipedOutputStream pipedOutputStream0 = new PipedOutputStream(pipedInputStream0);
      FilterOutputStream filterOutputStream0 = new FilterOutputStream(pipedOutputStream0);
      SerializationUtils.serialize((Serializable) (byte)8, (OutputStream) filterOutputStream0);
  }"
